Frame,Ball_X,Ball_Y,Ball_Vx,Ball_Vy,Ref_1_X,Ref_1_Y,Ref_2_X,Ref_2_Y,Ref_3_X,Ref_3_Y,GK_X,GK_Y,Player_1_X,Player_1_Y,Player_2_X,Player_2_Y,Player_3_X,Player_3_Y,Player_4_X,Player_4_Y,Player_5_X,Player_5_Y,Player_6_X,Player_6_Y,Player_7_X,Player_7_Y,Player_8_X,Player_8_Y,Player_9_X,Player_9_Y,Player_10_X,Player_10_Y,Player_11_X,Player_11_Y,Player_12_X,Player_12_Y,Player_13_X,Player_13_Y,Player_14_X,Player_14_Y,Player_15_X,Player_15_Y,Player_16_X,Player_16_Y,Player_17_X,Player_17_Y,Player_18_X,Player_18_Y,Player_19_X,Player_19_Y,Player_20_X,Player_20_Y,Player_21_X,Player_21_Y,Player_22_X,Player_22_Y
42,612,188,1,-3,0,0,0,0,0,0,0,0,367,494,1704,381,1115,508,942,255,811,576,1179,400,1669,508,1356,812,364,395,304,711,377,421,744,374,789,412,1063,316,974,202,762,288,502,246,1505,285,636,166,799,203,911,211,568,126
43,615,190,3,2,0,0,0,0,0,0,0,0,367,494,1704,381,1114,508,943,256,809,574,1179,400,1669,508,1354,812,362,395,307,707,379,422,744,374,791,411,1067,316,973,203,761,288,504,247,1506,286,639,168,796,204,912,211,569,123
44,618,192,3,2,0,0,0,0,0,0,0,0,369,494,1705,382,1114,507,945,257,807,573,1181,401,1669,508,1354,810,361,396,310,703,381,422,744,376,794,409,1070,317,974,205,760,289,507,249,1506,287,641,170,796,206,911,213,571,128
45,621,194,3,2,1892,1059,0,0,0,0,0,0,373,492,1705,382,1114,507,946,258,805,572,1184,401,1670,508,1354,808,362,397,313,698,382,421,744,376,796,409,1073,317,974,205,757,289,508,250,1506,289,642,171,796,207,911,214,573,131
46,624,196,3,2,1889,1058,0,0,0,0,0,0,377,490,1704,383,1115,506,947,260,802,571,1187,401,1669,508,1356,806,363,397,314,693,384,421,744,377,798,409,1077,318,972,207,756,290,510,251,1507,291,644,172,794,207,911,215,576,131
47,627,198,3,2,1886,1056,0,0,0,0,0,0,381,488,1704,385,1115,505,947,262,802,570,1190,402,1668,508,1358,805,366,396,313,690,386,421,745,377,799,410,1080,319,971,208,753,291,514,251,1507,293,646,174,793,209,909,217,580,131
48,630,200,3,2,1884,1055,585,132,0,0,0,0,383,486,1705,386,1115,506,946,264,802,569,1192,403,1668,510,1360,803,367,395,313,687,387,421,747,377,801,410,1084,320,971,210,752,291,519,251,1507,295,648,177,791,211,910,217,583,132
49,633,202,3,2,590,133,1883,1055,0,0,0,0,385,484,1707,387,1114,506,946,264,802,566,1195,405,1668,511,1362,801,368,395,315,684,387,422,750,376,804,409,1089,321,969,211,752,290,524,252,1509,296,647,179,789,213,913,218,586,133
50,636,204,3,2,588,132,1883,1055,0,0,0,0,386,484,1708,388,1114,507,949,265,801,563,1199,406,1667,512,1364,800,370,397,319,681,389,423,752,376,807,407,1095,322,970,211,753,289,529,252,1511,296,651,180,790,213,916,218,589,134
51,639,206,3,2,594,135,1882,1055,0,0,0,0,388,483,1709,389,1114,507,952,265,801,562,1201,406,1668,512,1365,800,371,397,324,675,395,425,754,376,812,407,1102,322,973,211,753,290,533,253,1514,297,655,181,792,214,917,219,592,135
52,642,208,3,2,596,134,1881,1054,0,0,0,0,391,482,1711,390,1116,505,953,266,801,562,1203,407,1669,512,1366,798,373,398,327,670,399,426,755,377,815,406,1108,323,974,212,752,290,537,255,1516,297,657,183,791,213,919,220,595,136
53,645,210,3,2,603,135,1878,1053,0,0,0,0,395,480,1713,390,1117,505,955,268,799,562,1205,407,1671,511,1367,797,376,399,329,665,400,427,755,378,819,406,1114,323,974,213,750,291,541,256,1518,298,661,185,790,213,919,222,598,137
54,648,212,3,2,1878,1053,608,138,0,0,0,0,402,477,1715,391,1117,504,958,269,798,561,1209,406,1672,511,1370,795,378,399,330,664,403,426,755,379,822,407,1120,324,973,214,749,291,545,258,1520,300,667,187,790,215,920,223,601,139
55,651,214,3,2,1881,1053,609,135,0,0,0,0,406,477,1718,392,1117,504,960,271,799,559,1214,407,1673,511,1374,793,381,398,332,662,405,426,758,378,823,406,1125,324,973,216,751,291,548,259,1523,302,669,188,789,216,922,223,604,140
56,654,216,3,2,1883,1053,612,135,0,0,0,0,409,475,1721,393,1115,505,961,272,801,557,1218,408,1674,512,1378,792,383,396,336,659,408,426,762,377,827,406,1130,325,975,217,753,290,550,259,1527,304,674,191,792,217,925,222,607,141
57,657,218,3,2,1884,1053,619,135,0,0,0,0,411,475,1725,395,1117,505,962,272,802,555,1222,409,1677,514,1380,791,386,397,341,655,410,426,766,377,831,405,1136,326,976,218,754,290,555,259,1528,306,677,192,792,218,927,224,610,142
58,660,220,3,2,1885,1053,0,0,0,0,0,0,412,474,1728,396,1119,505,965,271,801,553,1227,410,1675,515,1384,790,388,397,346,650,413,424,768,375,836,404,1142,326,977,218,753,291,561,259,1531,307,681,194,793,218,929,225,613,143
59,658,213,-2,-7,1884,1053,628,138,0,0,0,0,414,473,1732,397,1121,505,968,272,801,553,1231,411,1678,516,1387,790,389,397,348,646,415,422,769,375,839,403,1147,327,979,219,754,291,566,259,1532,308,684,195,793,219,931,226,616,144
60,660,216,2,3,632,140,1884,1054,0,0,0,0,418,472,1734,397,1121,505,970,273,798,552,1234,412,1678,516,1390,789,393,398,349,643,420,420,769,376,843,403,1151,327,979,219,755,292,571,260,1536,308,685,197,791,220,932,227,619,145
61,662,219,2,3,637,140,1882,1053,0,0,0,0,424,470,1736,398,1119,505,972,274,798,552,1236,412,1679,515,1390,788,396,399,350,641,424,418,770,376,846,403,1157,328,980,221,753,291,575,260,1539,307,688,199,791,221,933,228,622,146
62,664,222,2,3,637,140,1880,1051,0,0,0,0,428,468,1738,399,1117,505,973,276,800,551,1239,413,1682,515,1389,787,398,399,353,638,430,416,773,377,848,404,1162,329,981,222,753,292,579,262,1542,308,692,200,793,222,934,229,625,147
63,666,225,2,3,1880,1052,643,141,0,0,0,0,430,465,1740,400,1116,505,974,278,801,550,1243,412,1683,516,1392,786,401,400,357,633,435,415,776,376,851,405,1169,330,981,223,755,291,582,264,1544,310,696,202,793,222,936,229,628,148
64,668,228,2,3,1881,1051,649,141,0,0,0,0,431,465,1742,400,1119,504,975,278,802,547,1248,412,1684,515,1395,784,403,401,362,629,442,413,779,375,854,404,1175,330,982,224,756,290,585,264,1546,312,700,203,792,222,939,230,631,150
65,670,231,2,3,652,145,1880,1050,0,0,0,0,432,465,1744,401,1119,503,976,278,801,545,1250,413,1684,516,1397,783,404,402,365,624,447,410,780,375,859,404,1181,330,983,225,757,291,588,265,1548,313,703,205,793,223,941,230,634,151
66,672,234,2,3,1876,1049,652,151,0,0,0,0,433,464,1746,403,1118,502,979,279,801,545,1253,414,1683,517,1400,781,406,405,367,620,450,407,781,374,862,402,1186,331,984,225,756,292,593,264,1549,315,704,208,791,225,940,232,637,152
67,674,237,2,3,1875,1049,0,0,0,0,0,0,436,462,1748,404,1113,501,981,280,796,545,1256,415,1682,518,1402,779,409,406,368,618,454,404,782,375,865,401,1190,332,983,226,755,294,599,266,1550,315,706,210,791,226,941,234,654,152
68,676,240,2,3,1872,1048,0,0,0,0,0,0,440,461,1749,405,1111,501,981,281,793,544,1259,415,1680,519,1403,778,410,406,370,616,458,403,783,376,868,401,1194,333,983,228,753,294,603,266,1552,316,708,211,791,226,942,236,659,149
69,678,243,2,3,0,0,0,0,0,0,0,0,444,458,1751,407,1110,500,982,283,791,543,1260,416,1679,519,1404,777,412,405,373,613,459,402,783,376,871,402,1199,333,982,230,753,294,607,267,1553,317,710,211,790,227,941,237,662,150
70,680,246,2,3,667,148,0,0,0,0,0,0,446,455,1751,407,1110,499,982,284,791,541,1260,416,1679,518,1403,776,414,403,376,609,464,400,782,376,872,402,1204,334,981,231,754,293,609,269,1554,317,711,213,789,227,942,237,666,150
71,682,249,2,3,666,149,0,0,0,0,0,0,446,455,1752,407,1109,498,983,285,791,539,1262,416,1680,518,1402,775,415,401,379,604,468,397,783,376,873,402,1204,335,980,232,753,293,611,270,1554,318,709,214,789,229,943,238,670,151
72,684,252,2,3,0,0,0,0,0,0,0,0,446,455,1752,408,1107,497,982,287,792,537,1264,417,1680,518,1404,773,417,401,380,600,470,394,784,375,875,401,1206,335,980,232,752,292,612,272,1556,319,708,215,786,231,945,238,674,152
73,686,255,2,3,1866,1045,0,0,0,0,0,0,444,455,1753,408,1103,497,982,287,790,537,1267,417,1675,517,1405,771,419,399,379,598,474,392,785,373,877,399,1210,335,978,232,750,293,611,272,1558,321,710,217,784,231,942,238,678,153
74,688,258,2,3,1863,1044,0,0,0,0,0,0,444,454,1755,409,1100,497,983,286,788,536,1268,417,1671,517,1405,770,419,399,377,596,476,390,783,373,878,398,1213,335,978,234,745,293,611,272,1558,322,711,219,782,231,939,239,681,153
